date;Euro;Amerikanske dollar;Britiske pund ;Svenske kroner
2016M04D18;7.441.700;6.582.100;9.327.800;809.300
2016M04D19;7.442.300;6.561.100;9.423.600;810.900
2016M04D20;7.443.000;6.541.000;9.409.600;812.200
2016M04D21;7.441.100;6.553.100;9.455.900;810.200
2016M04D25;7.441.800;6.606.700;9.585.000;812.700
2016M04D26;7.441.800;6.593.200;9.604.400;812.900
2016M04D27;7.442.800;6.584.800;9.606.700;812.400
2016M04D28;7.443.200;6.553.300;9.562.400;811.100
2016M04D29;7.444.000;6.528.100;9.540.500;811.900
2016M05D02;7.441.400;6.474.700;9.510.000;810.600
2016M05D03;7.442.400;6.433.100;9.408.500;806.300
2016M05D04;7.440.400;6.467.100;9.384.500;803.200
2016M05D09;7.439.300;6.528.600;9.417.100;802.300
2016M05D10;7.439.600;6.540.300;9.445.900;801.900
2016M05D11;7.440.900;6.522.000;9.423.900;800.800
2016M05D12;7.440.700;6.533.200;9.432.000;800.500
2016M05D13;7.439.800;6.556.000;9.446.400;797.500
2016M05D17;7.438.600;6.572.400;9.518.400;795.500
2016M05D18;7.437.300;6.593.900;9.598.400;795.200
2016M05D19;7.436.600;6.641.600;9.710.300;793.600
2016M05D20;7.437.000;6.628.900;9.657.400;794.700
2016M05D23;7.437.100;6.631.400;9.603.300;795.900
2016M05D24;7.436.500;6.658.800;9.719.300;799.100
2016M05D25;7.436.900;6.672.300;9.795.100;802.700
2016M05D26;7.436.700;6.658.900;9.789.000;800.800
2016M05D27;7.436.700;6.658.900;9.753.700;802.500
2016M05D30;7.436.900;6.676.500;9.769.300;801.100
2016M05D31;7.437.600;6.668.100;9.762.600;800.500
2016M06D01;7.438.500;6.657.000;9.615.700;801.600
2016M06D02;7.438.300;6.648.500;9.618.300;800.300
2016M06D03;7.438.200;6.668.600;9.624.400;803.200
2016M06D06;7.437.700;6.553.600;9.448.300;804.400
2016M06D07;7.436.400;6.553.000;9.548.500;806.200
2016M06D08;7.436.400;6.535.800;9.528.000;805.800
2016M06D09;7.436.200;6.555.800;9.480.400;804.500
2016M06D10;7.435.600;6.577.800;9.474.500;797.500
2016M06D13;7.435.600;6.598.900;9.351.200;797.300
2016M06D14;7.435.800;6.624.300;9.355.800;798.000
2016M06D15;7.435.600;6.621.200;9.393.400;794.900
2016M06D16;7.435.500;6.654.300;9.408.100;791.700
2016M06D17;7.436.200;6.607.600;9.440.400;792.600
2016M06D20;7.435.900;6.561.900;9.610.200;796.700
2016M06D21;7.435.800;6.572.200;9.687.700;797.500
2016M06D22;7.438.400;6.592.600;9.686.300;795.800
2016M06D23;7.439.600;6.532.300;9.712.900;799.700
2016M06D24;7.437.100;6.720.700;9.210.000;786.100
2016M06D27;7.437.000;6.762.100;8.917.300;790.700
2016M06D28;7.438.600;6.717.800;8.992.500;787.800
2016M06D29;7.437.600;6.706.600;9.009.800;788.600
2016M06D30;7.439.300;6.700.900;9.001.000;789.400
2016M07D01;7.438.000;6.679.800;8.872.700;792.100
2016M07D04;7.441.000;6.680.700;8.868.400;792.400
2016M07D05;7.439.900;6.675.000;8.753.100;788.700
2016M07D06;7.441.100;6.722.500;8.723.400;786.000
2016M07D07;7.441.100;6.715.800;8.745.500;785.000
2016M07D08;7.441.200;6.722.000;8.729.400;785.900
2016M07D11;7.437.200;6.731.100;8.739.700;784.800
2016M07D12;7.437.800;6.705.600;8.825.600;787.300
2016M07D13;7.437.800;6.717.700;8.918.400;788.200
2016M07D14;7.437.800;6.666.500;8.927.800;787.800
2016M07D15;7.437.500;6.683.600;8.931.300;786.600
2016M07D18;7.438.700;6.730.000;8.922.300;785.700
2016M07D19;7.438.900;6.741.200;8.861.100;783.700
2016M07D20;7.438.400;6.754.200;8.897.100;785.600
2016M07D21;7.439.000;6.753.500;8.898.900;785.200
2016M07D22;7.439.000;6.754.100;8.844.600;783.200
2016M07D25;7.439.300;6.774.100;8.891.200;782.500
2016M07D26;7.439.300;6.764.800;8.887.000;782.100
2016M07D27;7.439.200;6.768.400;8.869.400;780.000
2016M07D28;7.439.800;6.708.600;8.833.800;779.100
