Date,Price,Open,High,Low,Vol.,Change %
"02/19/2025,""1,813.79"",""1,812.78"",""1,827.55"",""1,803.49"",""15.30M"",""-0.17%"""
"02/18/2025,""1,816.87"",""1,799.24"",""1,817.93"",""1,792.48"",""14.02M"",""1.37%"""
"02/17/2025,""1,792.24"",""1,792.59"",""1,799.67"",""1,790.71"",""11.36M"",""0.24%"""
"02/14/2025,""1,787.96"",""1,792.89"",""1,797.36"",""1,782.68"",""14.16M"",""-0.07%"""
"02/13/2025,""1,789.22"",""1,795.14"",""1,798.29"",""1,777.64"",""17.15M"",""0.37%"""
"02/12/2025,""1,782.70"",""1,790.55"",""1,796.90"",""1,777.24"",""16.83M"",""-0.67%"""
"02/11/2025,""1,794.67"",""1,781.38"",""1,795.58"",""1,780.08"",""12.26M"",""0.53%"""
"02/10/2025,""1,785.23"",""1,784.36"",""1,794.44"",""1,781.32"",""12.74M"",""-0.29%"""
"02/07/2025,""1,790.43"",""1,789.93"",""1,808.56"",""1,786.11"",""21.00M"",""0.03%"""
"02/06/2025,""1,789.84"",""1,774.34"",""1,789.84"",""1,765.36"",""23.72M"",""1.38%"""
"02/05/2025,""1,765.50"",""1,748.64"",""1,765.50"",""1,739.22"",""26.39M"",""1.07%"""
"02/04/2025,""1,746.74"",""1,736.91"",""1,754.68"",""1,727.18"",""18.08M"",""0.19%"""
"02/03/2025,""1,743.40"",""1,734.63"",""1,745.47"",""1,720.83"",""15.88M"",""-1.68%"""
"01/31/2025,""1,773.18"",""1,790.37"",""1,791.15"",""1,773.18"",""15.32M"",""-0.48%"""
"01/30/2025,""1,781.77"",""1,768.76"",""1,782.34"",""1,768.76"",""13.90M"",""0.65%"""
"01/29/2025,""1,770.21"",""1,769.91"",""1,779.92"",""1,767.13"",""14.49M"",""0.36%"""
"01/28/2025,""1,763.87"",""1,775.05"",""1,778.57"",""1,763.78"",""14.60M"",""-0.68%"""
"01/27/2025,""1,775.92"",""1,761.01"",""1,775.92"",""1,755.46"",""15.45M"",""0.45%"""
